,palavra,doc|ocorrencia
326,ilegalmente,"[(30, 1), (42, 1)]"
327,informações,"[(30, 1)]"
328,fiscais,"[(30, 1), (42, 1), (119, 1)]"
329,familiares,"[(30, 1)]"
330,ana,"[(31, 1), (38, 1), (96, 1)]"
331,paula,"[(31, 1), (38, 1), (96, 1)]"
332,henkel,"[(31, 1), (38, 1), (96, 1)]"
333,escreveu,"[(31, 1), (38, 1), (96, 1)]"
334,alagoas,"[(32, 1), (50, 1), (101, 1)]"
335,determinou,"[(32, 1), (50, 1), (101, 1)]"
336,bloqueio,"[(32, 1), (50, 1), (101, 1)]"
337,braskem,"[(32, 1), (50, 1), (101, 1)]"
338,indústria,"[(32, 1), (50, 1), (101, 1)]"
339,química,"[(32, 1), (50, 1), (101, 1)]"
340,odebrecht,"[(32, 1), (50, 1), (101, 1)]"
341,ministério,"[(33, 1), (43, 1), (61, 1), (102, 1)]"
342,infraestrutura,"[(33, 1), (61, 1), (102, 1)]"
343,leiloou,"[(33, 1), (61, 1), (102, 1)]"
344,seis,"[(33, 1), (61, 1), (102, 1)]"
345,terminais,"[(33, 1), (61, 1), (102, 1)]"
346,portuários,"[(33, 1), (61, 1), (102, 1)]"
347,pará,"[(33, 1), (61, 1), (102, 1)]"
348,arrecadando,"[(33, 1), (61, 1), (102, 1)]"
349,quase,"[(33, 1), (61, 1), (102, 1)]"
350,brasília,"[(36, 1), (43, 1), (51, 1), (71, 1), (83, 1), (108, 1)]"
351,reunião,"[(36, 1), (51, 1), (83, 1), (108, 1)]"
352,governadores,"[(36, 1), (51, 1), (83, 1), (108, 1)]"
353,participou,"[(36, 1), (51, 1), (83, 1), (108, 1)]"
354,bandeirantes,"[(36, 1), (51, 1), (83, 1), (108, 1)]"
355,apresentar,"[(36, 1), (51, 1), (83, 1), (108, 1)]"
356,restauro,"[(36, 1), (51, 1), (83, 1), (108, 1)]"
357,museu,"[(36, 1), (51, 1), (83, 1), (108, 1)]"
358,ipiranga,"[(36, 1), (51, 1), (83, 1), (108, 1)]"
359,eventuais,"[(36, 1), (51, 1), (83, 1), (108, 1)]"
360,patrocinadores,"[(36, 1), (51, 1), (83, 1), (108, 1)]"
361,ficou,"[(40, 1)]"
362,dúvida,"[(40, 1)]"
363,relato,"[(40, 1)]"
364,sobre,"[(40, 1), (42, 1), (54, 1), (82, 1), (105, 1)]"
365,comando,"[(41, 1)]"
366,aeronáutica,"[(41, 1)]"
367,pilotos,"[(41, 1)]"
368,força,"[(41, 1), (90, 1)]"
369,aérea,"[(41, 1)]"
370,brasileira,"[(41, 1)]"
371,fab,"[(41, 1)]"
372,ejetaram,"[(41, 1)]"
373,assim,"[(41, 1)]"
374,detectaram,"[(41, 1)]"
375,falha,"[(41, 1)]"
376,técnica,"[(41, 1)]"
377,durante,"[(41, 1), (98, 1)]"
378,treinamento,"[(41, 1)]"
379,caça,"[(41, 1)]"
380,manifestou,"[(42, 1)]"
381,agora,"[(42, 1)]"
382,caso,"[(42, 1), (70, 1)]"
383,dados,"[(42, 1), (119, 1)]"
384,família,"[(42, 1), (73, 1)]"
385,corda,"[(43, 1)]"
386,bamba,"[(43, 1)]"
387,ricardo,"[(43, 1)]"
388,vélez,"[(43, 1)]"
389,rodríguez,"[(43, 1)]"
390,recebeu,"[(43, 1)]"
391,recomendação,"[(43, 1)]"
392,público,"[(43, 1)]"
393,abster,"[(43, 1)]"
394,qualquer,"[(43, 1)]"
395,ato,"[(43, 1)]"
396,atente,"[(43, 1)]"
397,laicidade,"[(43, 1)]"
398,liberdade,"[(43, 1)]"
399,religiosa,"[(43, 1)]"
400,estudantes,"[(43, 1)]"
401,bbc,"[(44, 1)]"
402,eua,"[(44, 1), (53, 1), (110, 1)]"
403,participa,"[(44, 1)]"
404,brazil,"[(44, 1)]"
405,conference,"[(44, 1)]"
406,general,"[(44, 1), (115, 1)]"
407,carlos,"[(44, 1)]"
408,alberto,"[(44, 1)]"
409,santos,"[(44, 1)]"
410,cruz,"[(44, 1)]"
411,olavo,"[(44, 1)]"
412,carvalho,"[(44, 1)]"
413,importância,"[(44, 1)]"
414,nenhuma,"[(44, 1)]"
415,ação,"[(46, 1)]"
416,popular,"[(46, 1)]"
417,contesta,"[(46, 1)]"
418,decisão,"[(46, 1)]"
419,wilson,"[(46, 1)]"
420,witzel,"[(46, 1)]"
421,ceder,"[(46, 1)]"
422,clubes,"[(46, 1)]"
423,futebol,"[(46, 1)]"
424,administração,"[(46, 1)]"
425,temporária,"[(46, 1)]"
426,maracanã,"[(46, 1)]"
427,cedo,"[(46, 1)]"
428,governador,"[(46, 1)]"
429,anunciou,"[(46, 1), (73, 1)]"
430,estádio,"[(46, 1)]"
431,flamengo,"[(46, 1)]"
432,fluminense,"[(46, 1)]"
433,meses,"[(46, 1)]"
434,devem,"[(53, 1), (110, 1)]"
435,designar,"[(53, 1), (110, 1)]"
436,guarda,"[(53, 1), (110, 1)]"
437,revolucionária,"[(53, 1), (110, 1)]"
438,irã,"[(53, 1), (110, 1)]"
439,organização,"[(53, 1), (110, 1)]"
440,informaram,"[(53, 1), (110, 1)]"
441,agência,"[(53, 1), (110, 1)]"
442,reuters,"[(53, 1), (110, 1)]"
443,autoridades,"[(53, 1), (110, 1)]"
444,norte,"[(53, 1), (110, 1)]"
445,americanas,"[(53, 1), (110, 1)]"
446,acabando,"[(54, 1), (82, 1), (105, 1)]"
